issue_key,dominant_topic,dominant_topic_share,n_topics_present,topic_0_proportion,topic_1_proportion,topic_2_proportion
YARN-9298,0,0.5802801337775023,2,0.5802801337775023,0.0009066183136900643,0.4188132479088077
YARN-9292,1,0.6817236198069839,2,8.847208705656368e-05,0.6817236198069839,0.31818790810595937
YARN-9287,2,0.546944123327753,2,0.0006653359946777399,0.4523905406775693,0.546944123327753
YARN-9276,1,0.795174716914355,2,0.0003699593044765988,0.795174716914355,0.20445532378116832
YARN-9249,1,0.8853132977128451,1,0.0002562131693569791,0.8853132977128451,0.11443048911779806
YARN-9230,2,0.5797903732603061,2,0.000434216239687539,0.41977541050000633,0.5797903732603061
YARN-9228,1,0.5397444083557881,2,0.00017847581652691204,0.5397444083557881,0.46007711582768496
YARN-9200,1,0.6612867658194395,2,0.33858828103798894,0.6612867658194395,0.00012495314257158038
YARN-9174,1,0.7657841770193241,2,0.0004992511233151691,0.7657841770193241,0.23371657185736067
YARN-9150,2,0.9993339993339992,1,0.00033300033300039323,0.00033300033300039323,0.9993339993339992
YARN-9146,2,0.8711726411663491,1,0.0002126302360196332,0.1286147285976313,0.8711726411663491
YARN-9145,2,0.7335911586463201,2,0.2657850110355263,0.0006238303181535557,0.7335911586463201
YARN-9116,0,0.7094138971724707,2,0.7094138971724707,0.2904595686000207,0.0001265342275085912
YARN-9098,2,0.8162585927984926,2,0.00010985389432060694,0.18363155330718683,0.8162585927984926
YARN-9086,1,0.9991315675206248,1,0.0004342162396875202,0.9991315675206248,0.0004342162396875202
YARN-9059,1,0.99818676337262,1,0.0009066183136900328,0.99818676337262,0.0009066183136900328
YARN-9060,1,0.8751373923051778,1,0.0002271178741767625,0.8751373923051778,0.12463548982064546
YARN-9056,2,0.9993755853886979,1,0.00031220730565103736,0.00031220730565103736,0.9993755853886979
YARN-9055,0,0.6141603870497226,2,0.6141603870497226,0.38572853886386166,0.00011107408641567063
YARN-9050,1,0.6307292823985152,3,0.173091839810616,0.6307292823985152,0.1961788777908687
YARN-9045,1,0.946521848219271,1,0.053285954971195995,0.946521848219271,0.00019219680953305097
YARN-9038,1,0.8514300242731316,1,0.0004992511233151817,0.8514300242731316,0.1480707246035532
YARN-9034,2,0.9981867633726198,1,0.0009066183136901331,0.0009066183136901331,0.9981867633726198
YARN-9023,2,0.6628358595845995,2,0.00010413412475271856,0.3370600062906479,0.6628358595845995
YARN-9021,2,0.9995125517913719,1,0.00024372410431403027,0.00024372410431403027,0.9995125517913719
YARN-9016,2,0.8732616985759244,1,0.03132192832749261,0.09541637309658295,0.8732616985759244
YARN-9015,1,0.9994122832794593,1,0.0002938583602704114,0.9994122832794593,0.0002938583602704114
YARN-9014,1,0.8626805775996245,1,0.00012653422750857825,0.8626805775996245,0.13719288817286682
YARN-9003,1,0.9995835935873412,1,0.00020820320632945378,0.9995835935873412,0.00020820320632945378
YARN-9000,2,0.9277595467210199,1,8.472422265530648e-05,0.07215572905632482,0.9277595467210199
YARN-8993,1,0.999092147072174,1,0.00045392646391291834,0.999092147072174,0.00045392646391291834
YARN-8964,2,0.9995558516544525,1,0.00022207417277373879,0.00022207417277373879,0.9995558516544525
YARN-8982,1,0.6167893682319717,2,0.0006653359946774425,0.6167893682319717,0.3825452957733508
YARN-8962,1,0.9990014977533694,1,0.0004992511233152117,0.9990014977533694,0.0004992511233152117
YARN-8761,2,0.9990489776509743,1,0.000475511174512867,0.000475511174512867,0.9990489776509743
YARN-8981,1,0.9493161314529114,1,9.705910899740613e-05,0.9493161314529114,0.05058680943809114
YARN-8978,1,0.6785773595759316,2,0.3212304436145355,0.6785773595759316,0.0001921968095330241
YARN-8967,0,0.7407792015543461,2,0.7407792015543461,0.0004342162396876159,0.25878658220596634
YARN-8965,1,0.8165755259672212,1,0.06411821026872425,0.8165755259672212,0.11930626376405458
YARN-8953,1,0.9992316557817899,1,0.00038417210910503827,0.9992316557817899,0.00038417210910503827
YARN-8913,1,0.41358607602489095,3,0.21692083090599237,0.41358607602489095,0.3694930930691167
YARN-8890,1,0.9987523393636927,1,0.0006238303181535444,0.9987523393636927,0.0006238303181535444
YARN-8903,1,0.735512081613615,2,0.20064349725419903,0.735512081613615,0.06384442113218601
YARN-8895,2,0.9995352079944222,1,0.00023239600278885566,0.00023239600278885566,0.9995352079944222
YARN-8889,1,0.9993755853886981,1,0.0003122073056510161,0.9993755853886981,0.0003122073056510161
YARN-8887,1,0.9994122832794592,1,0.0002938583602704388,0.9994122832794592,0.0002938583602704388
YARN-8886,2,0.6593051349823807,2,0.0005254860746191354,0.34016937894300026,0.6593051349823807
YARN-8884,1,0.7249171829244895,2,0.2746986449664055,0.7249171829244895,0.00038417210910493614
YARN-8882,1,0.7982713384301005,2,0.20120317549528036,0.7982713384301005,0.0005254860746191073
