issue_key,dominant_topic,dominant_topic_share,n_topics_present,topic_0_proportion,topic_1_proportion,topic_2_proportion,topic_3_proportion,topic_4_proportion
YARN-3194,1,0.7864398080483408,1,0.00010982976386603588,0.7864398080483408,0.0999856499926483,0.00010982976386603588,0.11335488243127871
YARN-3172,3,0.37815269009468033,3,0.07971252456986178,0.0003442340791739489,0.20238816832327103,0.37815269009468033,0.3394023829330129
YARN-3167,3,0.514125960721408,2,0.00033277870216314316,0.00033277870216314316,0.00033277870216314316,0.514125960721408,0.4848757031721026
YARN-3166,4,0.8727497271464666,1,0.00016934801016092797,0.00016934801016092797,0.00016934801016092797,0.12674222882305072,0.8727497271464666
YARN-3148,3,0.5594152758970592,2,0.0002853067047076302,0.0002853067047076302,0.0002853067047076302,0.5594152758970592,0.43972880398881786
YARN-3139,4,0.5799101664836346,2,0.00047505938242295686,0.00047505938242295686,0.41866465536909653,0.00047505938242295686,0.5799101664836346
YARN-3135,4,0.46576319841361247,2,0.00021715526601525948,0.13924438097228356,0.00021715526601525948,0.3945581100820734,0.46576319841361247
YARN-3127,1,0.5113570934309944,2,0.1335131550902367,0.5113570934309944,0.00038387715930910993,0.1451590574896629,0.20958681682979666
YARN-3125,4,0.5866732539244185,2,0.0005865102639297919,0.0005865102639297919,0.0005865102639297919,0.4115672152837921,0.5866732539244185
YARN-3119,2,0.8081367419663483,1,0.06970668398311679,0.12171262288516295,0.8081367419663483,0.00022197558268595007,0.00022197558268595007
YARN-3118,4,0.5213742653459217,3,0.237470175285114,0.00035650623885925847,0.24044254689124586,0.00035650623885925847,0.5213742653459217
YARN-3115,1,0.4613174886490415,3,0.0002936857562409031,0.4613174886490415,0.0002936857562409031,0.1581266785567575,0.3799684612817193
YARN-3104,3,0.5248686878896863,2,0.0001537279016141769,0.47467012840547096,0.0001537279016141769,0.5248686878896863,0.0001537279016141769
YARN-3100,4,0.5430830329255913,2,0.00023781212841863744,0.00023781212841863744,0.00023781212841863744,0.45620353068915265,0.5430830329255913
YARN-3098,2,0.613406651028425,2,0.00035650623885923434,0.00035650623885923434,0.613406651028425,0.00035650623885923434,0.38552383025499737
YARN-3093,4,0.406202260134456,3,0.0002171552660152726,0.0002171552660152726,0.33972065383833916,0.2536427754951743,0.406202260134456
YARN-3092,2,0.6021970037062326,2,0.04325054816805344,0.00023228803716612495,0.6021970037062326,0.00023228803716612495,0.35408787205138154
YARN-3091,2,0.5033178331604566,2,0.00025608194622283497,0.00025608194622283497,0.5033178331604566,0.00025608194622283497,0.49591392100087484
YARN-3076,4,0.9920792079207916,1,0.0019801980198020878,0.0019801980198020878,0.0019801980198020878,0.0019801980198020878,0.9920792079207916
YARN-3068,4,0.4627788566283793,2,8.399832003363432e-05,0.0836262977063555,8.399832003363432e-05,0.4534268490251979,0.4627788566283793
YARN-3054,2,0.6228724319457654,3,0.0002038735983690735,0.19574572109655905,0.6228724319457654,0.0002038735983690735,0.18097409976093756
YARN-3053,3,0.6053711056120326,2,0.10265674593625096,0.00039920159680654354,0.00039920159680654354,0.6053711056120326,0.2911737452581035
YARN-3052,3,0.6464237435648178,2,0.00041580041580053563,0.00041580041580053563,0.00041580041580053563,0.6464237435648178,0.3523288551877805
YARN-3051,4,0.9348646283480415,1,0.0004987531172070934,0.0004987531172070934,0.0004987531172070934,0.06363911230033734,0.9348646283480415
YARN-3050,4,0.997153024911032,1,0.000711743772242019,0.000711743772242019,0.000711743772242019,0.000711743772242019,0.997153024911032
YARN-3049,4,0.9976539589442814,1,0.0005865102639296659,0.0005865102639296659,0.0005865102639296659,0.0005865102639296659,0.9976539589442814
YARN-3048,4,0.5611002693081709,3,0.2228730977320281,0.2152872614256051,0.00036968576709801425,0.00036968576709801425,0.5611002693081709
YARN-3047,4,0.9981859410430838,1,0.00045351473922905744,0.00045351473922905744,0.00045351473922905744,0.00045351473922905744,0.9981859410430838
YARN-3045,4,0.6051349859492823,2,0.0005865102639296499,0.3931054832589288,0.0005865102639296499,0.0005865102639296499,0.6051349859492823
YARN-3044,4,0.996934865900383,1,0.0007662835249042455,0.0007662835249042455,0.0007662835249042455,0.0007662835249042455,0.996934865900383
